"Packets/sec","Processor Time","IO Data Bytes/sec","Memory Usage"
"0.99855470125192269","0","0","36659200","yes"
"0","0","0","36659200","yes"
"0","0","0","36659200","yes"
"0","0","0","36659200","yes"
"0","0","0","36659200","yes"
"0","2","0","36659200","yes"
"0","1","0","36659200","yes"
"0","1","0","36659200","yes"
"0","0","0","36659200","yes"
"0","0","0","36659200","yes"
"0","0","0","36659200","yes"
"0","1","0","36659200","yes"
"0","0","0","29765632","yes"
"0","0","0","29765632","yes"
"0","0","0","29765632","yes"
"0","0","0","29765632","yes"
"0","0","0","29765632","yes"
"0","1","0","29765632","yes"
"0","1","0","29765632","yes"
"0","2","0","29765632","yes"
"0","3","443.18868672799204","43139072","yes"
"0","1","0","43139072","yes"
"0","3","0","43139072","yes"
"0","2","923.65518476973011","37056512","yes"
"0","2","0","37056512","yes"
"0.99897605892363672","0","0","37056512","yes"
"0","0","1329.2660332293947","37056512","yes"
"0","0","0","37056512","yes"
"0","2","0","37056512","yes"
"0","1","0","37056512","yes"